id,planillaId,dia,mes,anio,fechaGasto,motivo,origen,destino,montoViaje,montoDia,createdAt
104,cmis2k99s0004dtm6klml8skm,,,,2025-12-04 00:00:00,Deposito tienda atocongo,Arica,Colonial (taxi),4,5,2025-12-04 23:30:49.455
168,cmjafodbx0008yf8fpzxz5f8k,,,,2025-12-16 00:00:00,Estudio de mercado - Visita a Tiendas,Oficina Principal,Independencia- Plaza Norte,7.5,5,2025-12-17 19:57:47.516
169,cmjafodbx0008yf8fpzxz5f8k,,,,2025-12-17 00:00:00,Visita a cliente - Gestión de cobranzas y recojo de letras,Oficina Principal ,Puente Piedra ,7.5,10,2025-12-17 19:57:47.516
172,cmjaizz2o0002g7h5i6xrgfj5,,,,2025-12-11 00:00:00,Visita tda Pucallpa,Aeropuerto pucallpa,Restaurante,11,18,2025-12-17 21:30:47.761
173,cmjaizz2o0002g7h5i6xrgfj5,,,,2025-12-11 00:00:00,Visita tda Pucallpa,Restaurante,Hotel sol de oriente,11,20,2025-12-17 21:30:47.761
174,cmjaizz2o0002g7h5i6xrgfj5,,,,2025-12-11 00:00:00,Visita tda Pucallpa,Hotel sol de oriente,Real plaza pucallpa,11,10,2025-12-17 21:30:47.761
175,cmjaizz2o0002g7h5i6xrgfj5,,,,2025-12-11 00:00:00,Visita tda Pucallpa,Real plaza pucallpa,Tienda por el centro,11,5,2025-12-17 21:30:47.761
176,cmjaizz2o0002g7h5i6xrgfj5,,,,2025-12-11 00:00:00,Visita tda Pucallpa,Tienda del centro,Open plaza,11,10,2025-12-17 21:30:47.761
177,cmjaizz2o0002g7h5i6xrgfj5,,,,2025-12-12 00:00:00,Visita tda Pucallpa,Open plaza,Real plaza,11,5,2025-12-17 21:30:47.761
178,cmjaizz2o0002g7h5i6xrgfj5,,,,2025-12-12 00:00:00,Visita tda Pucallpa,Real plaza ,Hotel ,11,10,2025-12-17 21:30:47.761
179,cmjaizz2o0002g7h5i6xrgfj5,,,,2025-12-12 00:00:00,Visita tda Pucallpa,Hotel,Aeropuerto pucallpa,11,10,2025-12-17 21:30:47.761
165,cmja5a0jr000lyrktnh3prn6u,,,,2025-12-05 00:00:00,Taxi ,Cliente Cueros,Cliente Estilos,4.39285714285714,3.5,2025-12-17 15:06:41.607
166,cmja5a0jr000lyrktnh3prn6u,,,,2025-12-05 00:00:00,Taxi Agencia,Cliente Estilos,Agencia a Lima,4.39285714285714,3,2025-12-17 15:06:41.607
167,cmja5a0jr000lyrktnh3prn6u,,,,2025-12-05 00:00:00,Taxi a agencia,Agencia Atocongo ,A San Juan de Miraflores,4.39285714285714,10,2025-12-17 15:06:41.607
137,cmj1ubryy0010r82lh1jh4wl6,,,,2025-12-11 00:00:00,"Deposito de tiendas, dejar letras y deposito de cheques",Arica,Colonial(taxi),4.25,5,2025-12-11 19:37:58.618
180,cmjc02dto000cg2lbmhtl48fk,,,,2025-12-18 00:00:00,compras bebidas para brindis oficina principal ida,Of. Principal,Tottus Colonial,6.5,1,2025-12-18 22:16:19.837
181,cmjc02dto000cg2lbmhtl48fk,,,,2025-12-18 00:00:00,compras bebidas para brindis oficina principal retorno,Tottus Colonial,Of. Principal,6.5,6,2025-12-18 22:16:19.837
182,cmjc02dto000cg2lbmhtl48fk,,,,2025-12-18 00:00:00,compra de bocaditos para brindis oficina principal,Pasteleria San Isidro,Of Principal,6.5,12.5,2025-12-18 22:16:19.837
185,cmjd6mbcr001rg2lbhkbjr9if,,,,2025-12-05 00:00:00,compras centro de lima navidad,oficina principal arica,centro,20,14,2025-12-19 18:07:33.628
186,cmjd6mbcr001rg2lbhkbjr9if,,,,2025-12-10 00:00:00,compras centro de lima navidad recojo bolsas,oficina principal arica,centro,20,26,2025-12-19 18:07:33.628
184,cmjd6bo5j001og2lbr7ljtsdn,,,,2025-12-17 00:00:00,compras presentes piura,tienda real plaza piura,mercado,24,24,2025-12-19 17:59:16.999
183,cmjd69o18001lg2lbslcdnvmc,,,,2025-12-10 00:00:00,movilidad compras presentes cusco,tienda cusco,centro cusco ,36,36,2025-12-19 17:57:43.532
187,cmjd99xlr0002u4muz2rm75m4,,,,2025-12-19 00:00:00,Desayuno en ruta - Lima - Barranca ,Lima,Barranca,10,10,2025-12-19 19:21:54.783
188,cmjd99xlr0002u4muz2rm75m4,,,,2025-12-18 00:00:00,Cena en ruta Barranca - Lima,Barranca,Lima,10,10,2025-12-19 19:21:54.783
189,cmjd99xlr0002u4muz2rm75m4,,,,2025-12-18 00:00:00,Taxi terminal Barranca - Hotel Vilela (2 maletas),Terminal Barranca,HOTEL Vilela,10,10,2025-12-19 19:21:54.783
190,cmjd99xlr0002u4muz2rm75m4,,,,2025-12-18 00:00:00,Taxi Hotel - Terminal Barranca (2 maletas),Hotel vilela,Terminal Barranca ,10,10,2025-12-19 19:21:54.783
